ensembl_gene_id,gene_symbol,ensembl_transcript_id,ensembl_transcript_id_version,peptide_id,peptide_id_version,transcript_is_canonical,species
ENSCAFG00845000042,ALDH1A1,ENSCAFT00845000073,ENSCAFT00845000073.1,ENSCAFP00845000054,ENSCAFP00845000054.1,,dog
ENSCAFG00845000044,RNF217,ENSCAFT00845000074,ENSCAFT00845000074.1,ENSCAFP00845000055,ENSCAFP00845000055.1,1.0,dog
ENSCAFG00845000042,ALDH1A1,ENSCAFT00845000075,ENSCAFT00845000075.1,ENSCAFP00845000056,ENSCAFP00845000056.1,1.0,dog
ENSCAFG00845000043,SYNE1,ENSCAFT00845000076,ENSCAFT00845000076.1,ENSCAFP00845000057,ENSCAFP00845000057.1,,dog
ENSCAFG00845000036,RELCH,ENSCAFT00845000077,ENSCAFT00845000077.1,ENSCAFP00845000058,ENSCAFP00845000058.1,,dog
ENSCAFG00845000043,SYNE1,ENSCAFT00845000107,ENSCAFT00845000107.1,ENSCAFP00845000075,ENSCAFP00845000075.1,1.0,dog
ENSCAFG00845000043,SYNE1,ENSCAFT00845000110,ENSCAFT00845000110.1,ENSCAFP00845000078,ENSCAFP00845000078.1,,dog
ENSCAFG00845000043,SYNE1,ENSCAFT00845000116,ENSCAFT00845000116.1,ENSCAFP00845000084,ENSCAFP00845000084.1,,dog
ENSCAFG00845000043,SYNE1,ENSCAFT00845000117,ENSCAFT00845000117.1,ENSCAFP00845000085,ENSCAFP00845000085.1,,dog
ENSMUSG00000064341,mt-Nd1,ENSMUST00000082392,ENSMUST00000082392.1,ENSMUSP00000080991,ENSMUSP00000080991.1,1.0,mouse
ENSMUSG00000064345,mt-Nd2,ENSMUST00000082396,ENSMUST00000082396.1,ENSMUSP00000080992,ENSMUSP00000080992.1,1.0,mouse
ENSMUSG00000064351,mt-Co1,ENSMUST00000082402,ENSMUST00000082402.1,ENSMUSP00000080993,ENSMUSP00000080993.1,1.0,mouse
ENSMUSG00000064354,mt-Co2,ENSMUST00000082405,ENSMUST00000082405.1,ENSMUSP00000080994,ENSMUSP00000080994.1,1.0,mouse
ENSMUSG00000064356,mt-Atp8,ENSMUST00000082407,ENSMUST00000082407.1,ENSMUSP00000080995,ENSMUSP00000080995.1,1.0,mouse
ENSMUSG00000064357,mt-Atp6,ENSMUST00000082408,ENSMUST00000082408.1,ENSMUSP00000080996,ENSMUSP00000080996.1,1.0,mouse
ENSMUSG00000064358,mt-Co3,ENSMUST00000082409,ENSMUST00000082409.1,ENSMUSP00000080997,ENSMUSP00000080997.1,1.0,mouse
ENSMUSG00000064360,mt-Nd3,ENSMUST00000082411,ENSMUST00000082411.1,ENSMUSP00000080998,ENSMUSP00000080998.1,1.0,mouse
ENSMUSG00000065947,mt-Nd4l,ENSMUST00000084013,ENSMUST00000084013.1,ENSMUSP00000081021,ENSMUSP00000081021.1,1.0,mouse
ENSMUSG00000064363,mt-Nd4,ENSMUST00000082414,ENSMUST00000082414.1,ENSMUSP00000081000,ENSMUSP00000081000.1,1.0,mouse
ENSMUSG00000064367,mt-Nd5,ENSMUST00000082418,ENSMUST00000082418.1,ENSMUSP00000081001,ENSMUSP00000081001.1,1.0,mouse
ENSMUSG00000064368,mt-Nd6,ENSMUST00000082419,ENSMUST00000082419.1,ENSMUSP00000081002,ENSMUSP00000081002.1,1.0,mouse
ENSMUSG00000064370,mt-Cytb,ENSMUST00000082421,ENSMUST00000082421.1,ENSMUSP00000081003,ENSMUSP00000081003.1,1.0,mouse
ENSMUSG00000095019,,ENSMUST00000178569,ENSMUST00000178569.2,ENSMUSP00000136543,ENSMUSP00000136543.2,1.0,mouse
ENSMUSG00000096776,Vmn1r186,ENSMUST00000177783,ENSMUST00000177783.2,ENSMUSP00000136057,ENSMUSP00000136057.2,1.0,mouse
ENSMUSG00000095250,,ENSMUST00000179211,ENSMUST00000179211.2,ENSMUSP00000137208,ENSMUSP00000137208.2,1.0,mouse
ENSMUSG00000094915,,ENSMUST00000179715,ENSMUST00000179715.2,ENSMUSP00000136885,ENSMUSP00000136885.2,1.0,mouse
ENSMUSG00000094303,,ENSMUST00000110576,ENSMUST00000110576.4,ENSMUSP00000106205,ENSMUSP00000106205.4,1.0,mouse
ENSMUSG00000079800,,ENSMUST00000096862,ENSMUST00000096862.5,ENSMUSP00000094625,ENSMUSP00000094625.5,1.0,mouse
ENSMUSG00000094741,,ENSMUST00000178291,ENSMUST00000178291.2,ENSMUSP00000136877,ENSMUSP00000136877.2,1.0,mouse
ENSMUSG00000094836,,ENSMUST00000097490,ENSMUST00000097490.5,ENSMUSP00000095098,ENSMUSP00000095098.5,1.0,mouse
ENSMUSG00000079222,,ENSMUST00000111423,ENSMUST00000111423.3,ENSMUSP00000107053,ENSMUSP00000107053.3,1.0,mouse
ENSMUSG00000096244,,ENSMUST00000177979,ENSMUST00000177979.2,ENSMUSP00000136748,ENSMUSP00000136748.2,1.0,mouse
ENSMUSG00000094722,,ENSMUST00000180291,ENSMUST00000180291.2,ENSMUSP00000136941,ENSMUSP00000136941.2,1.0,mouse
ENSMUSG00000095666,,ENSMUST00000178466,ENSMUST00000178466.2,ENSMUSP00000136117,ENSMUSP00000136117.2,1.0,mouse
